iter	Passed	Remaining
0	0	74
1	1	76
2	2	71
3	3	74
4	3	68
5	4	65
6	4	63
7	5	59
8	5	58
9	6	57
10	6	55
11	7	54
12	7	53
13	8	52
14	8	50
15	9	49
16	10	49
17	10	48
18	11	46
19	11	46
20	12	46
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	16	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
